id,sku,category,diameter_mm,current_name,proposed_name,changed
128,20″_500MM_HS_BLUE_SERIES,Diamond Blades,500,20″/500mm HS BLUE Series,20″/500mm HS BLUE Series,
136,20″_500MM_PDA_SERIES,Diamond Blades,500,20″/500mm PDA Series,20″/500mm PDA Series,
135,22″_550MM_PDA_SERIES,Diamond Blades,550,22″/550mm PDA Series,22″/550mm PDA Series,
134,24″_600MM_PDA_SERIES,Diamond Blades,600,24″/600mm PDA Series,24″/600mm PDA Series,
169,26″_650MM_CONCRETE_FLAT_SAW_BLAD,Diamond Blades,650,26″/650mm Concrete Flat Saw Blade,26″/650mm Concrete Flat Saw Blade,
168,32″_800MM_CONCRETE_FLAT_SAW_BLAD,Diamond Blades,800,32″/800mm Concrete Flat Saw Blade,32″/800mm Concrete Flat Saw Blade,
191,A88,Diamond Blades,,A88,A88,
185,C88,Diamond Blades,,C88,C88,
194,CT88,Diamond Blades,,CT88,CT88,
186,F88,Diamond Blades,,F88,F88,
193,G88,Diamond Blades,,G88,G88,
115,GD99,Diamond Blades,,GD99,GD99,
138,I88,Diamond Blades,,i88,i88,
116,M88,Diamond Blades,,M88,M88,
118,R88,Diamond Blades,,R88,R88,
192,S88,Diamond Blades,,S88,S88,
183,SHP-GL180_GLASS_SAW_BLADE,Diamond Blades,,SHP-GL180 Glass Saw Blade,SHP-GL180 Glass Saw Blade,
182,SHP-GL200_GLASS_SAW_BLADE,Diamond Blades,,SHP-GL200 Glass Saw Blade,SHP-GL200 Glass Saw Blade,
181,SHP-GL230_GLASS_SAW_BLADE,Diamond Blades,,SHP-GL230 Glass Saw Blade,SHP-GL230 Glass Saw Blade,
190,T88,Diamond Blades,,T88,T88,
189,U88,Diamond Blades,,U88,U88,
9,UT99,Diamond Blades,,UT99,UT99,
184,V88,Diamond Blades,,V88,V88,
140,VBT-76,Diamond Blades,,VBT-76,VBT-76,
139,VBT-M350,Diamond Blades,,VBT-M350,VBT-M350,
141,VBT-MT105,Diamond Blades,,VBT-MT105,VBT-MT105,
117,W88,Diamond Blades,,W88,W88,
150,WS1000PCS_WALL_SAW_BLADE,Diamond Blades,,WS1000PCS Wall Saw Blade,WS1000PCS Wall Saw Blade,
156,WS750PCS_WALL_SAW_BLADE,Diamond Blades,,WS750PCS Wall Saw Blade,WS750PCS Wall Saw Blade,
148,WSL1000P_WALL_SAW_BLADE,Diamond Blades,,WSL1000P Wall Saw Blade,WSL1000P Wall Saw Blade,
149,WSL1000S_WALL_SAW_BLADE,Diamond Blades,,WSL1000S Wall Saw Blade,WSL1000S Wall Saw Blade,
147,WSL1600P_WALL_SAW_BLADE,Diamond Blades,,WSL1600P Wall Saw Blade,WSL1600P Wall Saw Blade,
158,WSL600P_WALL_SAW_BLADE,Diamond Blades,,WSL600P Wall Saw Blade,WSL600P Wall Saw Blade,
157,WSL700P_WALL_SAW_BLADE,Diamond Blades,,WSL700P Wall Saw Blade,WSL700P Wall Saw Blade,
154,WSL750-PDA_WALL_SAW_BLADE,Diamond Blades,,WSL750-PDA Wall Saw Blade,WSL750-PDA Wall Saw Blade,
155,WSL750P,Diamond Blades,,WSL750P,WSL750P,
160,WSL750PE_WALL_SAW_BLADE,Diamond Blades,,WSL750PE Wall Saw Blade,WSL750PE Wall Saw Blade,
152,WSL800P_WALL_SAW_BLADE,Diamond Blades,,WSL800P Wall Saw Blade,WSL800P Wall Saw Blade,
153,WSL800S_WALL_SAW_BLADE,Diamond Blades,,WSL800S Wall Saw Blade,WSL800S Wall Saw Blade,
159,WSL800SE_WALL_SAW_BLADE,Diamond Blades,,WSL800SE Wall Saw Blade,WSL800SE Wall Saw Blade,
151,WSL900P_WALL_SAW_BLADE,Diamond Blades,,WSL900P Wall Saw Blade,WSL900P Wall Saw Blade,
119,Z88,Diamond Blades,,Z88,Z88,
106,DD1-_14MM,Core Bits,14,DD1-Ø14mm,DD1 Ø14mm,yes
105,DD1-_18MM,Core Bits,18,DD1-Ø18mm,DD1 Ø18mm,yes
104,DD1-_20MM,Core Bits,20,DD1-Ø20mm,DD1 Ø20mm,yes
103,DD1-_22MM,Core Bits,22,DD1-Ø22mm,DD1 Ø22mm,yes
102,DD1-_24MM,Core Bits,24,DD1-Ø24mm,DD1 Ø24mm,yes
84,DORAI_25MM,Core Bits,25,DORAI Ø25mm,DORAI Ø25mm,
101,DD1-_26MM,Core Bits,26,DD1-Ø26mm,DD1 Ø26mm,yes
100,DD1-_28MM,Core Bits,28,DD1-Ø28mm,DD1 Ø28mm,yes
99,DD1-_32MM,Core Bits,32,DD1-Ø32mm,DD1 Ø32mm,yes
98,DD1-_36MM,Core Bits,36,DD1-Ø36mm,DD1 Ø36mm,yes
97,DD1-_38MM,Core Bits,38,DD1-Ø38mm,DD1 Ø38mm,yes
83,DORAI_38MM,Core Bits,38,DORAI Ø38mm,DORAI Ø38mm,
33,SBB_SERIES_50MM_INNER_DIAMETER,Core Bits,50,SBB Series Ø50mm Inner Diameter,SBB Ø50mm,yes
96,CBT-_52MM,Core Bits,52,CBT-Ø52mm,CBT Ø52mm,yes
87,DORAI-_52MM,Core Bits,52,DORAI-Ø52mm,DORAI Ø52mm,yes
75,PDA_52MM,Core Bits,52,PDA Ø52mm,PDA Ø52mm,
82,CBP_63MM,Core Bits,63,CBP Ø63mm,CBP Ø63mm,
86,DORAI_63MM,Core Bits,63,DORAI Ø63mm,DORAI Ø63mm,
88,CBT-_65MM,Core Bits,65,CBT-Ø65mm,CBT Ø65mm,yes
81,CBP_76MM,Core Bits,76,CBP Ø76mm,CBP Ø76mm,
95,CBT-_76MM,Core Bits,76,CBT-Ø76mm,CBT Ø76mm,yes
85,DORAI_76MM,Core Bits,76,DORAI Ø76mm,DORAI Ø76mm,
74,PDA_76MM,Core Bits,76,PDA Ø76mm,PDA Ø76mm,
32,SBB_SERIES_100MM_INNER_DIAMETER,Core Bits,100,SBB Series Ø100mm Inner Diameter,SBB Ø100mm,yes
94,CBT-_110MM,Core Bits,110,CBT-Ø110mm,CBT Ø110mm,yes
73,PDA_110MM,Core Bits,110,PDA Ø110mm,PDA Ø110mm,
80,CBP_112MM,Core Bits,112,CBP Ø112mm,CBP Ø112mm,
79,CBP_127MM,Core Bits,127,CBP Ø127mm,CBP Ø127mm,
93,CBT-_127MM,Core Bits,127,CBT-Ø127mm,CBT Ø127mm,yes
72,PDA_127MM,Core Bits,127,PDA Ø127mm,PDA Ø127mm,
92,CBT-_160MM,Core Bits,160,CBT-Ø160mm,CBT Ø160mm,yes
71,PDA_160MM,Core Bits,160,PDA Ø160mm,PDA Ø160mm,
78,CBP_162MM,Core Bits,162,CBP Ø162mm,CBP Ø162mm,
77,CBP_180MM,Core Bits,180,CBP Ø180mm,CBP Ø180mm,
91,CBT-_180MM,Core Bits,180,CBT-Ø180mm,CBT Ø180mm,yes
76,CBP_200MM,Core Bits,200,CBP Ø200mm,CBP Ø200mm,
90,CBT-_200MM,Core Bits,200,CBT-Ø200mm,CBT Ø200mm,yes
89,CBT-_250MM,Core Bits,250,CBT-Ø250mm,CBT Ø250mm,yes
35,DIAMOND_BIT,Core Bits,,Diamond Bit,Diamond Bit,
65,SD1_SERIES,Core Bits,,SD1 Series,SD1 Series,
51,SD3_DIAMOND_BIT,Core Bits,,SD3 Diamond Bit,SD3 Diamond Bit,
56,YS1_SERIES,Core Bits,,YS1 Series,YS1 Series,
31,CONCRETE_DRILL,Drill Bits,,Concrete Drill,Concrete Drill,
207,M10_PREMIUM_STONE_BIT,Drill Bits,,M10 Premium Stone Bit,M10 Premium Stone Bit,
205,VSB_DRY_STONE_BIT,Drill Bits,,VSB Dry Stone Bit,VSB Dry Stone Bit,
206,WSB_WET_STONE_BIT,Drill Bits,,WSB Wet Stone Bit,WSB Wet Stone Bit,
1,CW180DRU,Grinding Wheels,180,CW180DRU,CW180DRU,
204,CW100A,Grinding Wheels,,CW100A,CW100A,
201,CW100DRU,Grinding Wheels,,CW100DRU,CW100DRU,
202,CWE100,Grinding Wheels,,CWE100,CWE100,
34,CWP180SE,Grinding Wheels,,CWP180SE,CWP180SE,
200,CWS18012S,Grinding Wheels,,CWS18012S,CWS18012S,
199,CWS18024S,Grinding Wheels,,CWS18024S,CWS18024S,
203,CWT88,Grinding Wheels,,CWT88,CWT88,
198,DFGB250A,Grinding Wheels,,DFGB250A,DFGB250A,
197,PCD-100GXP,Grinding Wheels,,PCD-100GXP,PCD-100GXP,
196,PCD-180GXP,Grinding Wheels,,PCD-180GXP,PCD-180GXP,
195,VBT-G100M,Grinding Wheels,,VBT-G100M,VBT-G100M,
10,COOLMAN_HYBRID_4-STEP_POLISHING_,Polishing Pads,,COOLMAN Hybrid 4-Step Polishing Pad,COOLMAN Hybrid 4-Step Polishing Pad,
13,TS165_H1522_F_TYPE,Drilling Machines,165,TS165 H1522 F TYPE,TS165 H1522 F TYPE,
112,TS165_H1521_A_TYPE,Drilling Machines,180,TS165 H1521 A TYPE,TS165 H1521 A TYPE,
113,TS165_H1521_F_CASE,Drilling Machines,180,TS165 H1521 F CASE,TS165 H1521 F CASE,
111,TS165_H1522_A_TYPE,Drilling Machines,180,TS165 H1522 A TYPE,TS165 H1522 A TYPE,
12,TS255_H2021_A_TYPE,Drilling Machines,255,TS255 H2021 A TYPE,TS255 H2021 A TYPE,
47,TS255_H2021_F_TYPE,Drilling Machines,255,TS255 H2021 F TYPE,TS255 H2021 F TYPE,
11,TS405_H2231_A_TYPE,Drilling Machines,405,TS405 H2231 A TYPE,TS405 H2231 A TYPE,
48,TS405_H2231_F_TYPE,Drilling Machines,405,TS405 H2231 F TYPE,TS405 H2231 F TYPE,
44,TS605_H2531_F_TYPE,Drilling Machines,605,TS605 H2531 F TYPE,TS605 H2531 F TYPE,
46,HH1531,Drilling Machines,,HH1531,HH1531,
45,HH1531_WITH_CLAMPING_STAND,Drilling Machines,,HH1531 With Clamping Stand,HH1531 With Clamping Stand,
43,TS095_H1011_A_TYPE,Drilling Machines,,TS095 H1011 A TYPE,TS095 H1011 A TYPE,
42,TS095_H1012_A_TYPE,Drilling Machines,,TS095 H1012 A TYPE,TS095 H1012 A TYPE,
114,TS165_H1521_F_TYPE,Drilling Machines,,TS165 H1521 F TYPE,TS165 H1521 F TYPE,
212,K3000_CUT-N-BREAK,Cutting Machines,400,K3000 Cut-n-Break,K3000 Cut-n-Break,
218,WBS-18D186FA,Cutting Machines,450,WBS-18D186FA,WBS-18D186FA,
217,WBS153E,Cutting Machines,660,WBS153E,WBS153E,
210,TS73R,Cutting Machines,730,TS73R,TS73R,
219,FS_400_LV,Cutting Machines,,FS 400 LV,FS 400 LV,
220,FS_524,Cutting Machines,,FS 524,FS 524,
214,K3000_VAC.,Cutting Machines,,K3000 VAC.,K3000 VAC.,
213,K3000_WET,Cutting Machines,,K3000 WET,K3000 WET,
215,K970,Cutting Machines,,K970,K970,
216,SS-300R,Cutting Machines,,SS-300R,SS-300R,
209,TS350E,Cutting Machines,,TS350E,TS350E,
211,TS66R,Cutting Machines,,TS66R,TS66R,
208,PG280,Floor Equipment,,PG280,PG280,
36,QUX-1,Floor Equipment,,QUX-1,QUX-1,
30,MCTR,Hole Saws,,MCTR,MCTR,
37,META-CORE_1,Hole Saws,,Meta-Core 1,Meta-Core 1,
15,4-CUTTER_SDS_PLUS_DRILL_BIT_18MM,Anchor Removal Tools,18,4-Cutter SDS Plus Drill Bit Ø18mm,4-Cutter SDS Plus Drill Bit Ø18mm,
16,CA12_DROP_IN_ANCHOR,Anchor Removal Tools,,CA12 Drop In Anchor,CA12 Drop In Anchor,
22,1_2″_DROP_IN_ANCHOR,Accessories & Parts,51,1/2″ Drop In Anchor,1/2″ Drop In Anchor,
24,DROP_IN_ANCHOR_ROD_1_2″,Accessories & Parts,51,Drop In Anchor Rod 1/2″,Drop In Anchor Rod 1/2″,
28,COOLGREEN_160MM,Accessories & Parts,160,CoolGreen 160mm,CoolGreen 160mm,
29,COOLGREEN_170MM,Accessories & Parts,170,CoolGreen 170mm,CoolGreen 170mm,
27,COOLGREEN_180MM,Accessories & Parts,180,CoolGreen 180mm,CoolGreen 180mm,
19,ANCHOR_RESETTER,Accessories & Parts,,Anchor Resetter,Anchor Resetter,
64,AUTOMATIC_FEEDING_SYSTEM_AFS,Accessories & Parts,,Automatic Feeding System AFS,Automatic Feeding System AFS,
68,BIT_REMOVAL_TOOL,Accessories & Parts,,Bit Removal Tool,Bit Removal Tool,
41,CENTERING_SOCKET,Accessories & Parts,,Centering Socket,Centering Socket,
18,CONE_CATHETER,Accessories & Parts,,Cone Catheter,Cone Catheter,
67,DIAMOND_BIT_OPENER,Accessories & Parts,,Diamond Bit Opener,Diamond Bit Opener,
70,EXTENSION_BARS,Accessories & Parts,,Extension Bars,Extension Bars,
52,FEMALE_COUPLING,Accessories & Parts,,Female Coupling,Female Coupling,
66,FOOT_BASE_ASPHALT_CORE,Accessories & Parts,,Foot Base Asphalt Core,Foot Base Asphalt Core,
17,HAMMERING_TOOL,Accessories & Parts,,Hammering Tool,Hammering Tool,
26,M12_CROWN_ANCHOR_ROD,Accessories & Parts,,M12 Crown Anchor Rod,M12 Crown Anchor Rod,
23,M12_DROP_IN_ANCHOR,Accessories & Parts,,M12 Drop In Anchor,M12 Drop In Anchor,
25,M16_CROWN_ANCHOR_ROD,Accessories & Parts,,M16 Crown Anchor Rod,M16 Crown Anchor Rod,
63,QUICK_RELEASE_SPACER,Accessories & Parts,,Quick Release Spacer,Quick Release Spacer,
49,SD3_ADAPTOR,Accessories & Parts,,SD3 Adaptor,SD3 Adaptor,
50,SD3_TUBE,Accessories & Parts,,SD3 Tube,SD3 Tube,
21,SETTING_TOOL_M12,Accessories & Parts,,Setting Tool M12,Setting Tool M12,
20,SETTING_TOOL_M16,Accessories & Parts,,Setting Tool M16,Setting Tool M16,
69,SPINDLE_ADAPTOR,Accessories & Parts,,Spindle Adaptor,Spindle Adaptor,
39,VACUUM_PAD,Accessories & Parts,,Vacuum Pad,Vacuum Pad,
40,VACUUM_PUMP_V300,Accessories & Parts,,Vacuum Pump V300,Vacuum Pump V300,
54,WATER_COLLECTION_RING_WCR,Accessories & Parts,,Water Collection Ring WCR,Water Collection Ring WCR,
38,WATER_COLLECTION_SYSTEM,Accessories & Parts,,Water Collection System,Water Collection System,
53,WATER_TANK,Accessories & Parts,,Water Tank,Water Tank,
